datetime,option_type,atm_term_structure
2016-10-24,沽,0.021036216457298355
2016-10-24,购,0.000307580162149098
2016-10-25,沽,0.029104714886330943
2016-10-25,购,-0.003203380142347348
2016-10-26,沽,0.060415986983149914
2016-10-26,购,0.03326492189482765
2016-10-27,沽,0.03676951998093613
2016-10-27,购,0.0006141908678332137
2016-10-28,沽,0.037686051466184506
2016-10-28,购,0.003166465109376207
2016-10-31,沽,0.04161511473533556
2016-10-31,购,0.005113962959762176
2016-11-01,沽,0.032062362238352446
2016-11-01,购,-0.005881778809826008
2016-11-02,沽,0.03701462387880589
2016-11-02,购,-0.00011596154750287413
2016-11-03,沽,0.018051943110856106
2016-11-03,购,-0.01593239660338145
2016-11-04,沽,0.02026352989053531
2016-11-04,购,-0.014779978660147892
2016-11-07,沽,0.016118397937635445
2016-11-07,购,-0.015765077355236006
2016-11-08,沽,0.030245768507201277
2016-11-08,购,-0.00427569463372097
2016-11-09,沽,0.024950529879346883
2016-11-09,购,0.0007251313858463524
2016-11-10,沽,0.035330235451268406
2016-11-10,购,0.003940178471200956
2016-11-11,沽,0.044501728491708255
2016-11-11,购,-0.007853165640838416
2016-11-14,沽,0.020879235336635396
2016-11-14,购,-0.004707045314728469
2016-11-15,沽,0.036408456394983045
2016-11-15,购,-0.0032679906478431902
2016-11-16,沽,0.05084701909797447
2016-11-16,购,-0.01302612319585452
2016-11-17,沽,0.03952957397583179
2016-11-17,购,0.0007755094385578517
2016-11-18,沽,0.05385843366932383
2016-11-18,购,0.006704376618824009
2016-11-21,沽,0.03727394119562878
2016-11-21,购,0.0012318241602381486
2016-11-22,沽,0.06389331645289692
2016-11-22,购,0.008383066259187845
2016-11-23,沽,0.07026131857297425
2016-11-23,购,-0.028644650368988465
2016-11-24,沽,-0.004819146487014148
2016-11-24,购,0.004270333564747609
2016-11-25,沽,0.004643585469182182
2016-11-25,购,0.01639430573994941
2016-11-28,沽,0.007356146254610724
2016-11-28,购,0.012525408406105432
2016-11-29,沽,0.026228393522422934
2016-11-29,购,-0.0012787122826302386
2016-11-30,沽,0.025806290341021172
2016-11-30,购,-0.003101948961366155
2016-12-01,沽,0.028692989929519096
2016-12-01,购,0.0015187898645412702
2016-12-02,沽,0.03144569039774027
2016-12-02,购,0.008843233277483237
2016-12-05,沽,0.023980756449243683
2016-12-05,购,0.005309932233966849
2016-12-06,沽,0.029080884069902047
2016-12-06,购,0.009916827686134163
2016-12-07,沽,0.027227929326446326
2016-12-07,购,0.0026546238082951505
2016-12-08,沽,0.02521928820656898
2016-12-08,购,0.007228821843675302
2016-12-09,沽,0.028316632088039823
2016-12-09,购,0.011346135286554872
2016-12-12,沽,0.01987338317002045
2016-12-12,购,0.0002772670046287118
2016-12-13,沽,0.025567770884593177
2016-12-13,购,-0.0027998490869032026
2016-12-14,沽,0.024826661603769878
2016-12-14,购,-0.0009599517659545809
2016-12-15,沽,0.021008218542995498
2016-12-15,购,-0.000381475915854268
2016-12-16,沽,0.02969199419736227
2016-12-16,购,0.010147131949401488
2016-12-19,沽,0.02595385812133439
2016-12-19,购,0.00677947092095958
2016-12-20,沽,0.018313785234935806
2016-12-20,购,0.003557002988293831
2016-12-21,沽,0.035465062001243386
2016-12-21,购,0.00592002824124799
2016-12-22,沽,0.03383225065500632
2016-12-22,购,0.005587023922630057
2016-12-23,沽,0.03937917632259798
2016-12-23,购,0.010561726976707392
2016-12-26,沽,0.05093467578067552
2016-12-26,购,0.019589315074246078
2016-12-27,沽,0.06214998964519276
2016-12-27,购,0.017895513656558178
2016-12-28,沽,0.025878758753717906
2016-12-28,购,0.026133277243443487
2016-12-29,沽,0.013126064358015525
2016-12-29,购,-0.0013163642919860126
2016-12-30,沽,0.011277710619409267
2016-12-30,购,-0.005547363823586455
2017-01-03,沽,0.022625855708464242
2017-01-03,购,0.0014020669007910073
2017-01-04,沽,0.014648702222873665
2017-01-04,购,0.0013841970522054658
2017-01-05,沽,0.026302384353916256
2017-01-05,购,0.0035176121883458977
2017-01-06,沽,0.03240545456978365
2017-01-06,购,0.012742169244539948
2017-01-09,沽,0.04004059917838494
2017-01-09,购,0.010609544007397248
2017-01-10,沽,0.030199377711160436
2017-01-10,购,0.013486941041675112
2017-01-11,沽,0.030890280747232202
2017-01-11,购,0.008041999210675149
2017-01-12,沽,0.021539357889105843
2017-01-12,购,0.003541260779434749
2017-01-13,沽,0.03045996951604978
2017-01-13,购,0.00837084211269478
2017-01-16,沽,0.017846515974410105
2017-01-16,购,0.004731612876867808
2017-01-17,沽,0.026349463693938407
2017-01-17,购,0.002327708921600434
2017-01-18,沽,0.027968168397332387
2017-01-18,购,0.0040367953734600365
2017-01-19,沽,0.029948048884133903
2017-01-19,购,0.005577592571173562
2017-01-20,沽,0.03599868083220744
2017-01-20,购,0.011571809368410142
2017-01-23,沽,0.03461072894630177
2017-01-23,购,0.016286498814035672
2017-01-24,沽,0.05007206494287715
2017-01-24,购,0.03864936000327112
2017-01-25,沽,0.06463619873290262
2017-01-25,购,0.006656762657859882
2017-01-26,沽,0.020181507390003503
2017-01-26,购,-0.006026498634839579
2017-02-03,沽,0.025314298809240843
2017-02-03,购,0.0021965492965718898
2017-02-06,沽,0.02574709755495084
2017-02-06,购,-0.00027960209628483806
2017-02-07,沽,0.0181729864890984
2017-02-07,购,-0.003815289631533908
2017-02-08,沽,0.023691016685321704
2017-02-08,购,0.0003016611764521629
2017-02-09,沽,0.021163894969799046
2017-02-09,购,0.0007192922208242719
2017-02-10,沽,0.021955383061128354
2017-02-10,购,0.004543978870713461
2017-02-13,沽,0.014727353809856554
2017-02-13,购,-4.4276359053753276e-05
2017-02-14,沽,0.021070069001447672
2017-02-14,购,-0.00031022365540021624
2017-02-15,沽,0.02014429105790853
2017-02-15,购,0.0017846375048729338
2017-02-16,沽,0.019342330686162094
2017-02-16,购,-0.0009095623141186828
2017-02-17,沽,0.02433037612644123
2017-02-17,购,0.0024980603235875806
2017-02-20,沽,0.024163918066938458
2017-02-20,购,0.006329138496082192
2017-02-21,沽,0.033812932957923744
2017-02-21,购,0.010696801587969275
2017-02-22,沽,0.03734828886470388
2017-02-22,购,0.025891657591196854
2017-02-23,沽,0.018681413746526276
2017-02-23,购,0.002765603593620369
2017-02-24,沽,0.017860107135988817
2017-02-24,购,0.0002608156605199613
2017-02-27,沽,0.016762499984388328
2017-02-27,购,0.004840864802500639
2017-02-28,沽,0.016952945741703158
2017-02-28,购,0.004622398870616808
2017-03-01,沽,0.017516665318103617
2017-03-01,购,0.0025545176614018435
2017-03-02,沽,0.017100853268715053
2017-03-02,购,0.007394130919863094
2017-03-03,沽,0.020732005275726197
2017-03-03,购,0.00646373830636508
2017-03-06,沽,0.02461741834944504
2017-03-06,购,0.010296205562318504
2017-03-07,沽,0.023987659269850754
2017-03-07,购,0.009052542555500058
2017-03-08,沽,0.028714345410278074
