datetime,option_type,expiration_order,skewness
2015-04-13,沽,1.0,0.03995065972315618
2015-04-13,沽,2.0,0.20876234915743713
2015-04-13,沽,3.0,0.1755326958759952
2015-04-13,购,0.0,-0.58195002651916
2015-04-13,购,1.0,0.08184219028273122
2015-04-13,购,2.0,0.3520643749151289
2015-04-13,购,3.0,0.5179132979193297
2015-04-14,沽,0.0,-0.7910114020914343
2015-04-14,沽,1.0,0.06358703251613299
2015-04-14,沽,2.0,0.23414462747581466
2015-04-14,沽,3.0,0.0943395788000169
2015-04-14,购,0.0,0.08219750025131463
2015-04-14,购,1.0,0.4009553637288026
2015-04-14,购,2.0,0.2538072302838873
2015-04-14,购,3.0,0.3143526902883267
2015-04-15,沽,0.0,-0.8481624104375538
2015-04-15,沽,1.0,0.01286560704990337
2015-04-15,沽,2.0,0.11543527187209442
2015-04-15,沽,3.0,-0.00796602354014774
2015-04-15,购,0.0,-0.552100912598151
2015-04-15,购,1.0,-0.15500208804133253
2015-04-15,购,2.0,0.09306636919024784
2015-04-15,购,3.0,0.061374750007432324
2015-04-16,沽,0.0,-0.36905201889034733
2015-04-16,沽,1.0,-0.04637908178267534
2015-04-16,沽,2.0,0.26020610724064347
2015-04-16,沽,3.0,0.01385502415283801
2015-04-16,购,0.0,-0.21409084957675933
2015-04-16,购,1.0,0.09866067214041958
2015-04-16,购,2.0,-0.0037070971253899067
2015-04-16,购,3.0,0.3194552499297623
2015-04-17,沽,0.0,-0.1533318063667565
2015-04-17,沽,1.0,0.026653592582689248
2015-04-17,沽,2.0,0.18605730722449254
2015-04-17,沽,3.0,0.13065770735053403
2015-04-17,购,0.0,-0.42493497031484473
2015-04-17,购,1.0,-0.31930928328365976
2015-04-17,购,2.0,-0.147165974587535
2015-04-17,购,3.0,0.11120150648750168
2015-04-20,沽,0.0,-0.22815479963558577
2015-04-20,沽,1.0,0.13317884177379247
2015-04-20,沽,2.0,0.2502717077837991
2015-04-20,沽,3.0,0.10394414752135805
2015-04-20,购,0.0,-0.8786817635961661
2015-04-20,购,1.0,-0.27987029301119926
2015-04-20,购,2.0,-0.2236097309450915
2015-04-20,购,3.0,0.06783656382343115
2015-04-21,沽,0.0,-0.048951001173215505
2015-04-21,沽,1.0,0.1054700104306168
2015-04-21,沽,2.0,0.3759819895835769
2015-04-21,沽,3.0,0.18602574640408098
2015-04-21,购,0.0,-0.27128364819952977
2015-04-21,购,1.0,0.34616751539381446
2015-04-21,购,2.0,0.16298496619035863
2015-04-21,购,3.0,0.4234847815410571
2015-04-22,沽,0.0,-0.000355420116349888
2015-04-22,沽,1.0,-0.0563215469744013
2015-04-22,沽,2.0,0.31948041674212746
2015-04-22,沽,3.0,0.048973085493126116
2015-04-22,购,0.0,-0.21090799744181965
2015-04-22,购,1.0,0.3175373908335294
2015-04-22,购,2.0,0.22831986123723513
2015-04-22,购,3.0,0.030556948022442156
2015-04-23,沽,0.0,-0.008883174783815765
2015-04-23,沽,1.0,0.23918589946013577
2015-04-23,沽,2.0,0.08269280637078573
2015-04-23,沽,3.0,0.2075081119484796
2015-04-23,购,0.0,0.1576654065827558
